"Treatment","Family"
"TC_R128_FB","Fam11"
"TC_R129_FB","Fam08"
"TC_R130_FB","Fam05"
"TC_R131_FB","Fam10"
"TC_R132_FB","Fam06"
"TC_R133_FB","Fam03"
"TC_R134_FB","Fam12"
"TC_R135_FB","Fam12"
"TC_R136_FB","Fam12"
"TC_R137_FB","Fam05"
"TC_R138_FB","Fam02"
"TC_R139_FB","Fam05"
"TC_R140_FB","Fam04"
"TC_R141_FB","Fam05"
"TC_R142_FB","Fam02"
"TC_R143_FB","Fam08"
"TC_R144_FB","Fam06"
"TC_R145_FB","Fam07"
"TC_R146_FB","Fam08"
"TC_R147_FB","Fam01"
"TC_R148_FB","Fam12"
"TC_R149_FB","Fam04"
"TC_R150_FB","Fam08"
