LineID,AE001,AE002,AE003,AE004,AE005,AE006,AE007,AE008,AE009,AE010,AE011,AE012,AE013,AE014,AE015,AE016,AE017,AE018,AE019,AE020,AE021,AE022,AE023,AE024
AE011,0.33832666,-0.68699793,0.30487541,0.11460337,-0.21233135,-0.25378793,0.18488680,0.15738801,-0.02037600,-0.62740562,1.00000000,0.49490554,0.45265298,-0.18602621,0.32444667,0.45469892,-0.43137568,0.10083408,0.07136178,-0.01885194,-0.35085136,0.40081314,0.01920111,-0.35086926
AE012,0.05686622,-0.36037445,0.41395314,-0.02458767,0.32142040,-0.24190743,0.43799929,0.41845890,-0.60475257,-0.66832145,0.49490554,1.00000000,0.01587366,0.18221998,0.44018508,0.47424500,-0.71770195,-0.19770190,0.50838890,0.35896680,-0.29748033,-0.05654483,-0.19820936,-0.21300699
AE013,0.55932209,-0.61418958,-0.45361382,-0.34159299,-0.55855073,0.30733125,0.46100717,-0.41042555,-0.04076068,-0.35461447,0.45265298,0.01587366,1.00000000,0.20162876,-0.10912008,0.41165045,0.21414436,0.28723240,-0.25014821,0.14738185,0.44071736,-0.11025315,0.58862441,0.10488638
AE014,0.41541559,0.04173297,-0.24551043,-0.78503407,-0.23684865,0.49350515,0.39797024,0.14254885,-0.42709875,-0.14239450,-0.18602621,0.18221998,0.20162876,1.00000000,-0.48395760,-0.08816157,0.16505722,0.30780473,0.06656238,0.63497666,0.54417544,-0.76482485,0.02531991,0.65113500
AE015,-0.38011472,-0.31198582,0.18046989,0.63497296,0.59686404,-0.39257639,0.27821071,-0.06227338,-0.34600988,-0.38849511,0.32444667,0.44018508,-0.10912008,-0.48395760,1.00000000,0.63947423,-0.63971173,-0.54183703,0.46738892,-0.24646375,-0.38933259,0.39257393,0.14962245,-0.73925406
AE016,0.05816250,-0.62802888,-0.21256039,0.20397183,0.23194860,-0.00314529,0.68157236,-0.27202324,-0.52686609,-0.61917665,0.45469892,0.47424500,0.41165045,-0.08816157,0.63947423,1.00000000,-0.45586414,-0.28027026,0.38949634,0.00859019,0.07704392,0.06042957,0.52879109,-0.48294308
AE017,0.07152778,0.35479032,-0.47559772,-0.38147807,-0.45848015,0.26860771,-0.19953228,-0.47714074,0.41672473,0.62602205,-0.43137568,-0.71770195,0.21414436,0.16505722,-0.63971173,-0.45586414,1.00000000,0.20166877,-0.68969199,0.08266002,0.53022380,-0.28685271,0.23979207,0.56573280
AE018,0.75577561,-0.27538037,-0.13851232,-0.35370225,-0.71221278,0.58775686,-0.19498391,0.28638480,0.34075222,-0.17118364,0.10083408,-0.19770190,0.28723240,0.30780473,-0.54183703,-0.28027026,0.20166877,1.00000000,-0.01186910,-0.16761305,0.17314218,-0.00625187,-0.04150690,0.24071936
AE019,0.05316104,-0.27267739,0.11775675,0.24764101,0.41393318,0.18149138,0.28197292,0.40489641,-0.49884940,-0.55206128,0.07136178,0.50838890,-0.25014821,0.06656238,0.46738892,0.38949634,-0.68969199,-0.01186910,1.00000000,-0.15451783,-0.18729195,0.03261077,-0.05413586,-0.44374027
AE020,0.02528613,0.16015849,0.02486192,-0.65491705,0.02896602,-0.05443686,0.42309180,0.02707488,-0.49364874,-0.04683343,-0.01885194,0.35896680,0.14738185,0.63497666,-0.24646375,0.00859019,0.08266002,-0.16761305,-0.15451783,1.00000000,0.31232577,-0.67408595,-0.08191466,0.59670218
AE021,0.28196284,-0.00375807,-0.76676904,-0.55933945,-0.29488254,0.61582040,0.45923052,-0.50941516,-0.23042091,0.11579608,-0.35085136,-0.29748033,0.44071736,0.54417544,-0.38933259,0.07704392,0.53022380,0.17314218,-0.18729195,0.31232577,1.00000000,-0.64723290,0.59079128,0.48581072
AE022,-0.11068172,-0.24731086,0.37444398,0.70237693,0.01852129,-0.38634857,-0.45429164,0.12004164,0.49519721,-0.08461474,0.40081314,-0.05654483,-0.11025315,-0.76482485,0.39257393,0.06042957,-0.28685271,-0.00625187,0.03261077,-0.67408595,-0.64723290,1.00000000,-0.15442805,-0.65690014
AE023,0.16765362,-0.39328697,-0.75132080,-0.03691018,-0.14499624,0.38913675,0.54349723,-0.71197221,-0.18656899,-0.13364151,0.01920111,-0.19820936,0.58862441,0.02531991,0.14962245,0.52879109,0.23979207,-0.04150690,-0.05413586,-0.08191466,0.59079128,-0.15442805,1.00000000,-0.11347759
AE024,0.20016717,0.39349700,-0.17577092,-0.76719963,-0.36056663,0.25672549,0.00416105,-0.01750251,0.00121609,0.35355976,-0.35086926,-0.21300699,0.10488638,0.65113500,-0.73925406,-0.48294308,0.56573280,0.24071936,-0.44374027,0.59670218,0.48581072,-0.65690014,-0.11347759,1.00000000
