LineID,L001,L002,L003,L004,L005,L006,L007,L008,L009,L010,L011,L012,L013,L014,L015,L016,L017,L018,L019,L020,L021,L022,L023,L024,L025,L026,L027,L028,L029,L030
L015,-0.01306926,-0.43634825,0.24548483,0.67999994,-0.79332661,-0.39156608,0.66035168,-0.40796314,-0.31712287,-0.54448392,0.74788699,-0.34941338,0.31747512,-0.32121921,1.00000000,0.17611315,0.34175288,0.06503923,0.50648867,-0.15213006,-0.46920240,-0.74021680,0.14818587,-0.33959851,0.08523486,0.35019119,-0.47524998,0.40622515,-0.67305538,-0.27263399
L016,-0.20610280,-0.21045455,0.66022476,-0.21505494,0.12627404,-0.38178554,0.32602614,-0.10983830,0.11776967,0.25480376,0.29992579,-0.50314105,-0.69792081,-0.59477593,0.17611315,1.00000000,-0.62737748,-0.45319947,0.61579696,0.77857651,-0.60007876,-0.05975022,0.44234760,-0.26387630,0.56843158,0.54110065,-0.13651282,0.01547365,-0.19601923,-0.29131923
L017,-0.09715244,-0.10588167,-0.60740706,0.46598332,-0.55494175,0.15046373,0.21180579,-0.34810402,-0.55179318,-0.34536086,0.05396677,0.11401783,0.76536675,0.36298332,0.34175288,-0.62737748,1.00000000,0.65735791,-0.11460693,-0.73855266,0.18465226,-0.41254681,-0.51361253,-0.14348264,-0.37782623,-0.45754982,-0.03069215,0.09224085,-0.19335685,-0.06013726
L018,-0.45105531,-0.28677103,-0.74176821,0.07572966,-0.21038773,0.41541063,0.17960535,-0.51826887,-0.59532413,0.10914043,-0.28328705,0.17080964,0.41447593,0.17554833,0.06503923,-0.45319947,0.65735791,1.00000000,0.06222958,-0.40558224,0.10588696,-0.22525536,-0.72584188,-0.25377876,-0.04148737,-0.55188018,0.41196474,-0.38136966,0.16988244,-0.01052254
L019,-0.52758421,-0.54248589,0.33542915,0.12309707,-0.27006674,-0.13771891,0.73690427,-0.63842615,-0.32476692,0.06359714,0.35962026,-0.52591813,-0.29383608,-0.66187579,0.50648867,0.61579696,-0.11460693,0.06222958,1.00000000,0.47085847,-0.78825180,-0.54145707,-0.01404330,-0.64313590,0.66959807,0.32041025,-0.15767938,-0.15947896,-0.23137734,-0.25268701
L020,-0.26958434,-0.12819673,0.52726503,-0.47232484,0.43290996,-0.14221464,0.11324292,-0.03327258,0.21787906,0.48014526,-0.02022998,-0.33577846,-0.81901454,-0.53266448,-0.15213006,0.77857651,-0.73855266,-0.40558224,0.47085847,1.00000000,-0.45848649,0.18659345,0.31235544,-0.18530853,0.61241030,0.39431941,0.10006057,-0.24137122,0.12866533,-0.13009995
L021,0.47778761,0.40305271,-0.46473592,-0.17126261,0.22643662,0.07835408,-0.75433189,0.59738956,0.22102479,0.04244030,-0.34714805,0.57475046,0.25873583,0.65798338,-0.46920240,-0.60007876,0.18465226,0.10588696,-0.78825180,-0.45848649,1.00000000,0.58071602,-0.01045050,0.70528210,-0.69893810,-0.33170667,0.38674365,0.14060592,0.16813277,0.12018952
L022,0.24582416,0.48503539,-0.11876189,-0.66949481,0.70168035,0.01118815,-0.76892484,0.63862133,0.38182689,0.51808011,-0.51927550,0.29995221,-0.39558588,0.38680619,-0.74021680,-0.05975022,-0.41254681,-0.22525536,-0.54145707,0.18659345,0.58071602,1.00000000,0.17173764,0.57907648,-0.28939634,-0.16722470,0.47517022,-0.07394771,0.36039647,0.01077569
L023,0.58873464,0.05810616,0.67898985,0.08291623,-0.03480170,-0.60966224,-0.18222814,0.54397440,0.55140167,-0.21479815,0.51902974,-0.06171772,-0.33200036,-0.20446002,0.14818587,0.44234760,-0.51361253,-0.72584188,-0.01404330,0.31235544,-0.01045050,0.17173764,1.00000000,0.42785314,-0.09442103,0.69460524,-0.26076985,0.55055365,-0.42168392,-0.13150410
L024,0.71662632,0.22873700,-0.04125481,-0.08739798,0.19046603,-0.15333178,-0.74653625,0.76800534,0.55415606,-0.08357458,-0.03151693,0.57506172,0.01565462,0.33569405,-0.33959851,-0.26387630,-0.14348264,-0.25377876,-0.64313590,-0.18530853,0.70528210,0.57907648,0.42785314,1.00000000,-0.55219073,0.15383458,0.29470575,0.29576198,0.01041618,0.15499612
L025,-0.51565197,-0.48805016,0.34446877,-0.10611528,0.13811258,0.26664412,0.48696023,-0.50799559,0.01081518,0.20431089,0.00626808,-0.24504105,-0.46036125,-0.73932976,0.08523486,0.56843158,-0.37782623,-0.04148737,0.66959807,0.61241030,-0.69893810,-0.28939634,-0.09442103,-0.55219073,1.00000000,0.29362290,0.00840827,-0.53275810,0.27386082,0.18551996
L026,0.37934002,-0.39993206,0.72006872,0.29274355,-0.19968931,-0.35570154,0.14208625,0.17442708,0.51341070,-0.34050300,0.62361602,-0.00808609,-0.30347836,-0.61575648,0.35019119,0.54110065,-0.45754982,-0.55188018,0.32041025,0.39431941,-0.33170667,-0.16722470,0.69460524,0.15383458,0.29362290,1.00000000,-0.23723298,0.26054672,-0.30900967,0.10642217
L027,-0.14718540,-0.17640005,-0.48030970,-0.46762261,0.40530717,0.33478844,-0.41402417,0.06765524,0.02365138,0.51691017,-0.49786306,0.46129644,-0.22354108,0.07693938,-0.47524998,-0.13651282,-0.03069215,0.41196474,-0.15767938,0.10006057,0.38674365,0.47517022,-0.26076985,0.29470575,0.00840827,-0.23723298,1.00000000,-0.48073854,0.44886717,0.10008019
L028,0.53074118,0.28478838,0.29425595,0.34709236,-0.42465817,-0.73205011,-0.03471514,0.38205215,0.04130142,-0.41690470,0.57701107,-0.23008482,0.21432078,0.26990825,0.40622515,0.01547365,0.09224085,-0.38136966,-0.15947896,-0.24137122,0.14060592,-0.07394771,0.55055365,0.29576198,-0.53275810,0.26054672,-0.48073854,1.00000000,-0.73766909,-0.43190743
L029,-0.23000950,0.03450929,-0.28529339,-0.43503409,0.62040313,0.74867784,-0.32254247,-0.00641116,0.23094890,0.37858661,-0.71395272,0.41928515,-0.17786856,-0.01788210,-0.67305538,-0.19601923,-0.19335685,0.16988244,-0.23137734,0.12866533,0.16813277,0.36039647,-0.42168392,0.01041618,0.27386082,-0.30900967,0.44886717,-0.73766909,1.00000000,0.57779170
L030,0.20767626,-0.21993670,-0.02690169,0.17212775,0.15809163,0.65363189,-0.20402717,0.07831323,0.50288672,-0.27539926,-0.20856676,0.61914321,0.16456070,-0.21531542,-0.27263399,-0.29131923,-0.06013726,-0.01052254,-0.25268701,-0.13009995,0.12018952,0.01077569,-0.13150410,0.15499612,0.18551996,0.10642217,0.10008019,-0.43190743,0.57779170,1.00000000
