LineID,L001,L002,L003,L004,L005,L006,L007,L008,L009,L010,L011,L012,L013,L014,L015,L016,L017,L018,L019,L020,L021,L022,L023,L024,L025,L026,L027,L028,L029,L030
L011,0.50044183,0.05655395,0.32070594,0.19643664,-0.49943175,-0.06005757,0.07690773,-0.01735277,-0.73437847,0.42686321,1.00000000,0.26362169,0.24970335,0.39560476,-0.24936000,-0.62705400,-0.12873431,0.47989290,-0.60806709,0.09656523,-0.04020822,-0.49412118,-0.45014991,-0.59746401,0.39111663,-0.13103543,0.76467956,-0.01030319,0.59094500,-0.71872236
L012,-0.26615902,0.35066551,0.26795877,-0.01328941,-0.16392253,-0.15318230,-0.37173366,-0.23536189,-0.59154099,0.46661422,0.26362169,1.00000000,0.54958795,-0.16616260,-0.09956039,-0.22082093,-0.15013676,0.41274063,-0.63406616,0.30727294,-0.21715737,0.12082655,0.18482210,-0.27963189,-0.12556148,-0.24284454,0.30472213,0.47351527,0.10907328,-0.11061985
L013,-0.15861100,-0.27812727,0.77673535,-0.10963904,0.03565291,-0.29098622,-0.75844188,-0.56572111,-0.48429427,0.57510238,0.24970335,0.54958795,1.00000000,0.18460638,-0.22887731,-0.52660793,-0.01102289,0.44101138,-0.40203200,-0.15337970,0.37151327,-0.14303328,0.41984499,-0.38490047,0.34688362,0.14777816,0.42780479,0.55573576,-0.22484678,-0.00840693
L014,0.51190236,-0.11073591,0.34694863,0.13176265,-0.47257507,0.19293152,0.02342360,-0.36256970,-0.09764609,0.11201467,0.39560476,-0.16616260,0.18460638,1.00000000,0.24890781,-0.64832428,0.59527601,0.14083465,0.07120809,0.18689440,-0.00554965,-0.13084382,-0.45562056,-0.07723728,0.32705670,0.47267236,0.60718023,0.11673889,-0.08550032,-0.59526471
L015,-0.26909358,0.22669076,-0.28464808,-0.43107119,0.01805938,-0.08486477,0.32644028,0.21205719,0.36806125,0.04062207,-0.24936000,-0.09956039,-0.22887731,0.24890781,1.00000000,-0.07113362,0.44081667,0.13003439,0.16751213,0.34053878,-0.36496319,0.72965507,-0.23067072,0.19053566,-0.63394407,-0.08785742,-0.01312142,0.40379950,-0.42793018,-0.11305951
L016,-0.24870232,0.23366894,-0.62298140,0.14110754,0.27291749,0.26041372,0.23135287,0.25984360,0.52373332,-0.61204510,-0.62705400,-0.22082093,-0.52660793,-0.64832428,-0.07113362,1.00000000,-0.16337289,-0.61188876,0.43728087,0.02902969,-0.19606361,0.20616346,0.20138574,0.56514860,-0.33766107,-0.07917389,-0.79844993,-0.42417710,-0.02496483,0.56913419
L017,0.28791462,0.21703895,-0.00779903,0.26035458,-0.44033096,0.52144360,0.05519085,-0.47502620,0.32464421,-0.31637686,-0.12873431,-0.15013676,-0.01102289,0.59527601,0.44081667,-0.16337289,1.00000000,-0.31115786,0.44843137,0.49382649,-0.32109831,0.26621014,-0.32595194,0.50631762,-0.01774222,0.64668928,0.13204420,0.06279224,-0.35731301,-0.25594013
L018,-0.24000047,-0.18091830,0.42424763,-0.53612045,0.12114477,-0.67500136,-0.17377623,0.18387298,-0.56795797,0.82967091,0.47989290,0.41274063,0.44101138,0.14083465,0.13003439,-0.61188876,-0.31115786,1.00000000,-0.70299326,-0.17573447,0.19037336,0.04436124,0.05247101,-0.76563149,-0.06505638,-0.49679176,0.55734468,0.60370988,0.05266217,-0.29255232
L019,0.09280997,-0.12469858,-0.28684646,0.18004839,0.11435287,0.43146184,0.12146230,-0.14807354,0.77996509,-0.68448055,-0.60806709,-0.63406616,-0.40203200,0.07120809,0.16751213,0.43728087,0.44843137,-0.70299326,1.00000000,-0.02938599,0.03521265,0.14249217,0.03133678,0.70345853,-0.00107534,0.53892819,-0.53341061,-0.35711424,-0.41216916,0.35552866
L020,0.21594179,0.78547161,-0.35970632,0.38300058,-0.65003952,0.54340598,0.33071117,-0.14851944,-0.05480149,-0.24525665,0.09656523,0.30727294,-0.15337970,0.18689440,0.34053878,0.02902969,0.49382649,-0.17573447,-0.02938599,1.00000000,-0.80092951,0.32151354,-0.50855273,0.37166388,-0.33297542,0.14069661,0.15371457,-0.01181921,0.16106167,-0.41899971
L021,-0.14537160,-0.82793026,0.57324027,-0.30209093,0.54403886,-0.47320993,-0.52430579,-0.12488900,-0.01186444,0.29797977,-0.04020822,-0.21715737,0.37151327,-0.00554965,-0.36496319,-0.19606361,-0.32109831,0.19037336,0.03521265,-0.80092951,1.00000000,-0.36586460,0.54142221,-0.35740947,0.48024596,0.07085485,-0.01149593,0.11628774,-0.26247293,0.35667514
L022,-0.57387910,0.30597612,-0.33295478,-0.45645748,0.21806494,-0.12888024,0.13085170,0.17547469,0.39873061,0.00890813,-0.49412118,0.12082655,-0.14303328,-0.13084382,0.72965507,0.20616346,0.26621014,0.04436124,0.14249217,0.32151354,-0.36586460,1.00000000,0.09783626,0.29800892,-0.77031248,-0.18775696,-0.29020628,0.46996072,-0.51564585,0.22420074
L023,-0.62310467,-0.44005612,0.34544750,-0.35129893,0.67433977,-0.41632736,-0.66404346,-0.18415602,0.11183628,0.20305365,-0.45014991,0.18482210,0.41984499,-0.45562056,-0.23067072,0.20138574,-0.32595194,0.05247101,0.03133678,-0.50855273,0.54142221,0.09783626,1.00000000,-0.04469151,0.02280444,-0.05404943,-0.38484982,0.33461622,-0.47719986,0.72508856
L024,0.04839548,0.32342303,-0.45667670,0.37234407,-0.12298487,0.63820834,0.16201458,-0.22244658,0.64734788,-0.75226404,-0.59746401,-0.27963189,-0.38490047,-0.07723728,0.19053566,0.56514860,0.50631762,-0.76563149,0.70345853,0.37166388,-0.35740947,0.29800892,-0.04469151,1.00000000,-0.20433151,0.48369938,-0.54592182,-0.32643620,-0.28148792,0.28863046
L025,0.53794772,-0.43832019,0.54760038,0.42094289,-0.19798648,0.15333554,-0.36059764,-0.45828310,-0.29931347,0.01810003,0.39111663,-0.12556148,0.34688362,0.32705670,-0.63394407,-0.33766107,-0.01774222,-0.06505638,-0.00107534,-0.33297542,0.48024596,-0.77031248,0.02280444,-0.20433151,1.00000000,0.45002161,0.33436530,-0.29146652,0.22009242,-0.16892961
L026,0.42099313,-0.10531620,0.23795574,0.49090087,-0.32034899,0.57241512,-0.25151662,-0.69549538,0.27032815,-0.41668886,-0.13103543,-0.24284454,0.14777816,0.47267236,-0.08785742,-0.07917389,0.64668928,-0.49679176,0.53892819,0.14069661,0.07085485,-0.18775696,-0.05404943,0.48369938,0.45002161,1.00000000,0.02940879,-0.19566867,-0.27715232,-0.03369281
L027,0.39952531,-0.00580065,0.48462277,0.05803985,-0.48349454,-0.10146173,-0.07905264,-0.21225090,-0.64895966,0.52817949,0.76467956,0.30472213,0.42780479,0.60718023,-0.01312142,-0.79844993,0.13204420,0.55734468,-0.53341061,0.15371457,-0.01149593,-0.29020628,-0.38484982,-0.54592182,0.33436530,0.02940879,1.00000000,0.26692190,0.28033396,-0.72081046
L028,-0.54378287,-0.11228607,0.42016695,-0.59656504,0.24793773,-0.53292215,-0.42298180,-0.13886123,-0.19114615,0.65117960,-0.01030319,0.47351527,0.55573576,0.11673889,0.40379950,-0.42417710,0.06279224,0.60370988,-0.35711424,-0.01181921,0.11628774,0.46996072,0.33461622,-0.32643620,-0.29146652,-0.19566867,0.26692190,1.00000000,-0.48664046,0.04301096
L029,0.49448037,0.31658831,-0.20500457,0.43263207,-0.44587128,0.18808221,0.39342329,0.27666387,-0.50604117,-0.03304836,0.59094500,0.10907328,-0.22484678,-0.08550032,-0.42793018,-0.02496483,-0.35731301,0.05266217,-0.41216916,0.16106167,-0.26247293,-0.51564585,-0.47719986,-0.28148792,0.22009242,-0.27715232,0.28033396,-0.48664046,1.00000000,-0.46939549
L030,-0.59420163,-0.29610844,-0.06642690,-0.26158517,0.69758992,-0.19953862,-0.34360791,0.01860043,0.46943681,-0.18754056,-0.71872236,-0.11061985,-0.00840693,-0.59526471,-0.11305951,0.56913419,-0.25594013,-0.29255232,0.35552866,-0.41899971,0.35667514,0.22420074,0.72508856,0.28863046,-0.16892961,-0.03369281,-0.72081046,0.04301096,-0.46939549,1.00000000
